,id,name,link,regular_price,promo_price,brand
88,117095,"Колбаса Велком Сервелат Финский варено-копченая, 580г",https://online.metro-cc.ru/products/servelat-finskij-vareno-velkom-580g,519,,ВЕЛКОМ
89,121301,"Снек мясной Черкизово Классический, 70г",https://online.metro-cc.ru/products/70g-myasnoj-snek-cherkizovo-klassicheskij,145,99,ЧЕРКИЗОВО
90,121302,"Снек мясной Черкизово со сладким чили, 70г",https://online.metro-cc.ru/products/70g-myasnoj-snek-cherkizovo-so-sladkim-chili,145,99,ЧЕРКИЗОВО
91,52722,"Колбаса Черкизово Богородская сырокопченая, ~600г",https://online.metro-cc.ru/products/bogorodskaya-syrokopchenaya-cherkizovskij-mk,989,679,ЧЕРКИЗОВО
92,217059,"Колбаса Черкизово сервелетти сырокопченая, 250г",https://online.metro-cc.ru/products/250g-kolbasa-cherkizovo-serveletti-sk-srez-vu,349,,ЧЕРКИЗОВО
93,138989,"Колбаса Дымов Сальчичон сырокопченая, ~550г",https://online.metro-cc.ru/products/550g-kolbasa-dymov-salchichon-sk-vu,1 559,1 009,ДЫМОВ
94,118450,"Колбаса Черкизово Чесночная полукопченая, 300г",https://online.metro-cc.ru/products/300g-cherkizovo-chesnochnaya-fib,189,,ЧЕРКИЗОВО
95,55306,"METRO Chef Салями мини Сыр, 500г",https://online.metro-cc.ru/products/salyami-mini-metro-chef-syr-500-g,659,629,METRO CHEF
96,222911,"Колбаса Велком вареная молочная, 500г",https://online.metro-cc.ru/products/500g-kolbasa-velkom-varenaya-molochnaya-vu,399,309,ВЕЛКОМ
97,456228,"Колбаса Эколь Халяль говяжья полукопченая, 600г",https://online.metro-cc.ru/products/govyazhya-ekol-halyal-600g,429,,ЭКОЛЬ
98,528850,"Колбаса Эколь Халяль Элитная сырокопченая, ~400г",https://online.metro-cc.ru/products/ekol-elitnaya-halyal-syrokopchenaya,1 539,,ЭКОЛЬ
99,118250,"Колбаса Велком Брауншвейгская сырокопченая, 235г",https://online.metro-cc.ru/products/235g-velkom-braunshvejgskaya-s-k,409,,ВЕЛКОМ
100,206047,"METRO Chef Колбаса чоризо варено-копченая нарезка, 500г",https://online.metro-cc.ru/products/500g-kolbasa-metro-chef-chorizo-vk-narezka,499,,METRO CHEF
101,86717,"Колбаса Останкино Салями Итальянская сырокопченая, ~500г",https://online.metro-cc.ru/products/salyami-italyanskaya-ostankino,1 119,,ОСТАНКИНО
102,109467,"Колбаса Папа Может Классическая вареная, ~1.35кг",https://online.metro-cc.ru/products/kolbasa-klassicheskaya-varenaya-papa-mozhet-1350g,549,529,ПАПА МОЖЕТ
103,221196,"Колбаса Останкино салями мелкозерная сырокопченая, 500г",https://online.metro-cc.ru/products/500g-kolbasa-salyami-ostankino-melkozernenaya-sk-vu,429,,ОСТАНКИНО
104,507051,"Колбаса Эколь Халяль Домашняя с говядиной, 450г",https://online.metro-cc.ru/products/ekol-govyazhya-halyal-450-g,339,,ЭКОЛЬ
105,297384,"Колбаса Черкизово Салями Фламенко сырокопченая нарезка, 100г",https://online.metro-cc.ru/products/kolbasa-syrokopchenaya-salyami-flamenko-cherkizovo-narezka-100-g,167,,ЧЕРКИЗОВО
106,111574,"Колбаса Черкизово Молочная по-черкизовски вареная, 400г",https://online.metro-cc.ru/products/kolbasa-cherkizovo-molochnaya-po-cherkizovski-varenaya-400-g,219,,ЧЕРКИЗОВО
107,650724,"Сервелат Дымов Бельгийский, ~600г",https://online.metro-cc.ru/products/belgijskij-servelat-dymov,1 399,,ДЫМОВ
108,212559,"Колбаса Casademont Chorizo Острый полусухая сыровяленая, ~1кг",https://online.metro-cc.ru/products/1kg-kolbasa-casademont-chorizo-ostryy-sv-polusuhaya,2 199,,CASADEMONT
109,364964,"Колбаса Омский бекон Докторская вареная ГОСТ, ~2кг",https://online.metro-cc.ru/products/omskij-bekon-doktorskaya-gost,609,469,ОМСКИЙ БЕКОН
110,65546,"Колбаса Черкизово Фуэт экстра сыровяленая, 150г",https://online.metro-cc.ru/products/cherkizovo-fuet-ekstra-syrovyalenaya-150g,359,,ЧЕРКИЗОВО
111,55307,"METRO Chef Салями мини Чеснок, 500г",https://online.metro-cc.ru/products/salyami-mini-metro-chef-chesnok-500-g,659,629,METRO CHEF
112,632102,"Колбаса Casademont Salchichon экстра сыровяленая, ~1кг",https://online.metro-cc.ru/products/salchichon-syrovyalenaya-casademont,1 929,,CASADEMONT
113,283138,"Колбаса Омский бекон Мускат Пренцлау варено-копченая, ~650г",https://online.metro-cc.ru/products/muskat-prenclau-omskij-bekon-vareno,689,,ОМСКИЙ БЕКОН
114,55308,"METRO Chef Салями мини Чили, 500г",https://online.metro-cc.ru/products/salyami-mini-metro-chef-chili-500-g,659,619,METRO CHEF
115,585075,"Колбаса Casademont Fuet Extra с сыром сыровяленая, 110г",https://online.metro-cc.ru/products/casademont-fuet-extra-syrovyalenaya-s-syrom-110g,349,,CASADEMONT
116,230248,"Колбаски Велком охотничьи полукопченые, 240г",https://online.metro-cc.ru/products/kolbaski-velkom-ohotnichi-polukopchenye-240g,299,,ВЕЛКОМ
117,313553,"Колбаса Дымов Брауншвейгская + Сервелат полусухая нарезка, 90г",https://online.metro-cc.ru/products/art_313553,209,,ДЫМОВ
118,297381,"Колбаса Черкизово Прошутто сыровяленая полусухая в нарезке, 100г",https://online.metro-cc.ru/products/cherkizovskij-syrovyalenaya-polusuhaya-proshutto-v-narezke-100g,167,,ЧЕРКИЗОВО
119,210692,"Колбаса Дымов Итальянская сырокопченая, ~650г",https://online.metro-cc.ru/products/italyanskaya-syrokopchenaya-dymov,1 239,,ДЫМОВ
120,211337,"Колбаски Атяшево охотские полукопченые, 400г",https://online.metro-cc.ru/products/400g-kolbaski-atyashevo-ohotskie-pk,179,129,АТЯШЕВО
121,115070,"Колбаса полукопченая Черкизово Краковская, 350г",https://online.metro-cc.ru/products/kolbasa-krakovskaya-polukopchenaya-cherkizovo-gost-350g,399,,ЧЕРКИЗОВО
122,644152,"Колбаса Salumi di Reggio Салями Монтанья сыровяленая, 200г",https://online.metro-cc.ru/products/salyami-montanya-salumi-di-bosco-200g,419,,SALUMI DI REGGIO
123,644153,"Колбаса Salumi di Reggio Салями Традиционная сыровяленая, 200г",https://online.metro-cc.ru/products/tradicionnaya-salyami-syrovyalenaya-gierlinger-200g,419,,SALUMI DI REGGIO
124,229863,"Колбаса Останкино сервелат швейцарский варено-копченый нарезка, 100г",https://online.metro-cc.ru/products/kolbasa-ostankino-servelat-shveytsarskiy-vareno-kopchenyy-narezka-100g,164,109,ОСТАНКИНО
125,384417,"Колбаса Черкизово Докторская Губернская вареная, ~1.5кг",https://online.metro-cc.ru/products/guberniya-doktorskaya-gubernskaya-v-setke-15kg,339,,ЧЕРКИЗОВО
126,369684,"Колбаса Дымов Сервелат варено-копченая, 330г",https://online.metro-cc.ru/products/servelat-dymov-vareno-vakuumnaya-upakovka-330g,339,,ДЫМОВ
127,230261,"Колбаса докторская вареная Черкизово нарезка ГОСТ, 150г",https://online.metro-cc.ru/products/kolbasa-doktorskaya-varenaya-cherkizovo-narezka-gost-150g,116,99,ЧЕРКИЗОВО
128,585077,"Колбаса Casademont Fuet Extra с перцем сыровяленая, 110г",https://online.metro-cc.ru/products/casademont-fuet-extra-syrovyalenaya-s-percem-110g,349,,CASADEMONT
129,228786,"Ветчина Мясницкий ряд от шефа вареная, 400г",https://online.metro-cc.ru/products/400g-vetchina-myasnitskiy-ryad-ot-shefa-varenaya-vu,259,205,МЯСНИЦКИЙ РЯД
130,573817,"Колбаса Папа Может Мясная вареная, ~1.3кг",https://online.metro-cc.ru/products/papa-mozhet,569,489,ПАПА МОЖЕТ
131,133857,"Колбаса свиная Останкино сырокопченая, ~500г",https://online.metro-cc.ru/products/kolbasa-svinaya-ostankinskaya-syrokopchenaya-500g,1 019,,ОСТАНКИНО
132,212607,"Колбаса Черкизово сервелетти и прошутто нарезка сырокопченая, 85г",https://online.metro-cc.ru/products/85g-kolbasa-cherkizovo-serveletti-i-proshutto-sk-nar,169,,ЧЕРКИЗОВО
133,233482,"Колбаса Велком салями итальянская варено-копченая нарезка, 100г",https://online.metro-cc.ru/products/kolbasa-velkom-salyami-italyanskaya-vareno-kopchenaya-narezka-100g,149,119,ВЕЛКОМ
134,118251,"Колбаса Велком Велкомовская сырокопченая, 235г",https://online.metro-cc.ru/products/235g-velkom-velkomovskaya-s-k,419,,ВЕЛКОМ
135,86846,"Колбаса Велком Миланская сырокопченая, ~600г",https://online.metro-cc.ru/products/milanskaya-syrokopchenaya-velkom,1 599,,ВЕЛКОМ
136,404324,"Ассорти колбас Черкизово Праздничное сырокопченое, ~1кг",https://online.metro-cc.ru/products/nabor-prazdnichnoe-assorti-cherkizovskij-mk,1 179,,ЧЕРКИЗОВО
137,283171,"Колбаса Омский бекон Докторская вареная, ~1кг",https://online.metro-cc.ru/products/doktorskaya-omskij-bekon-1-kg,609,,ОМСКИЙ БЕКОН
138,138987,"Колбаса Дымов Сервелат Кремлевский варено-копченая, ~660г",https://online.metro-cc.ru/products/660g-kolbasa-dymov-servelat-kremlevskiy-vk-vu,859,,ДЫМОВ
139,283167,"Колбаса Омский бекон Бутербродная вареная, ~1кг",https://online.metro-cc.ru/products/buterbrodnaya-omskij-bekon,359,235,ОМСКИЙ БЕКОН
140,131661,"Колбаса Дымов Балыковая варено-копченая, 330г",https://online.metro-cc.ru/products/kolbasa-dymov-balykovskaya-vareno-kopchenaya-330g,359,,ДЫМОВ
141,217058,"Колбаса Черкизово бородинская экстра сырокопченая, 200г",https://online.metro-cc.ru/products/200g-kolbasa-cherkizovo-borodinskaya-ekstra-sk-srez,229,,ЧЕРКИЗОВО
142,210690,"Колбаса Дымов Пепперони сырокопченая, ~650г",https://online.metro-cc.ru/products/pepperoni-syrokopchenaya-dymov,1 199,,ДЫМОВ
143,94511,"Колбаски Дымов Пиколини Сметана и лук сырокопченые, 50г",https://online.metro-cc.ru/products/art_94511,88.90,,ДЫМОВ
144,467536,"Колбаса Дымов Салями Финская полукопченая, 330г",https://online.metro-cc.ru/products/finskaya-salyami-dymov-polukopchenaya-330g,239,,ДЫМОВ
145,447793,"Колбаса Омский бекон Сервелат Классический варено-копченая, 500г",https://online.metro-cc.ru/products/art_447793,249,,ОМСКИЙ БЕКОН
146,656661,"Колбаса Мясницкий ряд Сальчичон нарезка, 90г",https://online.metro-cc.ru/products/myasnickij-ryad-salchichon-narezka-90-g,141,,МЯСНИЦКИЙ РЯД
147,258032,"Колбаса Черкизово Имперская варено-копченая, ~1кг",https://online.metro-cc.ru/products/cherkizovskij-mk-imperskaya,999,,ЧЕРКИЗОВО
148,422831,"Колбаса Микоян Кремлевская сырокопченая, ~625г",https://online.metro-cc.ru/products/mikoyan-kremlevskaya-s-k,829,,МИКОЯН
149,204868,"Колбаса Дымов австрийская сырокопченая полусухая, 230г",https://online.metro-cc.ru/products/230g-kolbasa-dymov-avstriyskaya-sk-polusuhaya,287,229,ДЫМОВ
150,230249,"Колбаски Велком охотничьи с сыром полукопченые, 240г",https://online.metro-cc.ru/products/kolbaski-velkom-ohotnichi-s-syrom-polukopchenye-240g,309,,ВЕЛКОМ
151,130910,"Сервелат Швейцарский Дымов варено-копченый, 330г",https://online.metro-cc.ru/products/330g-servelat-shvejcarskij-dymov-v-k,279,,ДЫМОВ
152,655385,"Колбаса Дымов Сервелат Кремлевский варено-копченая нарезка, 110г",https://online.metro-cc.ru/products/servelat-dymov-kremlevskij-vareno-narezka-110g,117,,ДЫМОВ
153,226787,"Колбаса краковская Омский бекон полукопченая, 380г",https://online.metro-cc.ru/products/380g-kolbasa-krakovskaya-omskiy-bekon-pk-vu,279,,ОМСКИЙ БЕКОН
154,111571,"Колбаса Черкизово Варшавская Традиционная полукопченая, 350г",https://online.metro-cc.ru/products/kolbasa-polukopchenaya-cherkizovo-varshavskaya-tradicionnaya-350-g,184,,ЧЕРКИЗОВО
155,64294,"Колбаски Дымов Пиколини Бекон сырокопченые, 50г",https://online.metro-cc.ru/products/kolbaski-pikolini-so-vkusom-bekona-dymov-50g,88.90,,ДЫМОВ
156,118449,"Колбаса Черкизово Сальчичон Premium с розовым перцем сырокопченая нарезка, 300г",https://online.metro-cc.ru/products/300g-cherkizovo-premium-salch-roz-per-s-k,499,,ЧЕРКИЗОВО
157,127472,"Колбаса Егорьевская фабрика Докторская вареная, 450г",https://online.metro-cc.ru/products/varenaya-egoryevskaya-fkg-doktorskaya-450-g,429,,ЕГОРЬЕВСКАЯ ФАБРИКА
158,135181,"Колбаса Solemici салями italiano нарезка, 70г",https://online.metro-cc.ru/products/kolbasa-solemici-salyami-italiano-narezka-70g,209,,SOLEMICI
159,208382,"Колбаса Дымов Брауншвейгская сырокопченая, ~600г",https://online.metro-cc.ru/products/dymov-braunshvejgskaya-1-kg,1 579,,ДЫМОВ
160,574216,"Колбаса Дымов Сервелат Ореховый, 330г",https://online.metro-cc.ru/products/dymov-servelat-orehovyj-330g,389,,ДЫМОВ
161,209317,"Колбаса Велес Сервелат категории А варено-копченая, 300г",https://online.metro-cc.ru/products/300g-kolbasa-veles-servelat-vk-vu-vs-gost,329,239,ВЕЛЕС
162,118448,"Колбаса Черкизово Сальчичон с розовым перцем сырокопченая, ~600г",https://online.metro-cc.ru/products/600g-cherkizovo-premium-salch-rz-per-s-k,1 459,,ЧЕРКИЗОВО
163,128537,"Колбаса Велком Сальчичон сырокопченая, 110г",https://online.metro-cc.ru/products/110g-velkom-salchichon-s-k-v-u,229,,ВЕЛКОМ
